
 OVERVIEW
 
key,value
version,2.0
generator,glTF-Transform v4.2.1
extensionsUsed,none
extensionsRequired,none




 SCENES
 
#,name,rootName,bboxMin,bboxMax,renderVertexCount,uploadVertexCount,uploadNaiveVertexCount
0,FJ1252,grp1,"-35.4293, -181.642, 1461.42004","34.1026, -127.764, 1479.80005",5544,1115,1115
1,FJ1253,grp1,"-38.3298, -174.60001, 1434.13","36.9983, -121.135, 1470.13",5754,1029,1029
2,FJ1282,grp1,"23.4085, -165.201, 1511.41003","36.1584, -161.46201, 1524.17004",9192,1535,1535
3,FJ1285,grp1,"17.1543, -159.45799, 1506.12","41.144, -139.995, 1530.03003",86754,15355,15355
4,FJ1286,grp1,"18.2718, -162.392, 1506.83997","40.5739, -155.44099, 1529.10999",20112,3865,3865
5,FJ1289,grp1,"22.7521, -166.049, 1510.72998","36.8423, -161.17999, 1524.80005",13806,2824,2824
6,FJ1294,grp1,"12.5581, -166.313, 1503.15002","41.9178, -140.479, 1519.5",7080,1217,1217
7,FJ1295,grp1,"12.115, -160.005, 1504.21997","34.2923, -119.045, 1526.90002",10680,1858,1858
8,FJ1297,grp1,"23.3381, -162.7, 1511.31006","36.1918, -159.621, 1524.16003",9858,1716,1716
9,FJ1298,grp1,"13.2772, -164.35699, 1513.20996","19.0893, -163.38499, 1517.33997",1902,371,371
10,FJ1299,grp1,"31.6594, -161.44, 1520.21997","46.474, -148.995, 1535.31995",5304,903,903
11,FJ1301,grp1,"16.6581, -165.084, 1513.93994","19.1687, -163.181, 1516.73999",744,126,126
12,FJ1302,grp1,"10.7706, -161.483, 1487.75","15.7531, -151.95, 1504.68005",1332,227,227
13,FJ1304,grp1,"16.3569, -158.72701, 1513.17004","42.7963, -119.108, 1530.70996",9948,1745,1745
14,FJ1305,grp1,"24.4899, -161.59599, 1512.67004","34.7934, -156.823, 1523.10999",4818,805,805
15,FJ1306,grp1,"11.8402, -165.377, 1520.88","41.9712, -119.571, 1536.95996",13080,2353,2353
16,FJ1308,grp1,"11.2401, -161.179, 1512.41003","21.2375, -120.934, 1530.03003",7728,1353,1353
17,FJ1309,grp1,"12.4325, -164.33299, 1503.51001","15.7643, -159.377, 1518.65002",1146,193,193
18,FJ1317,grp1,"15.9892, -163.455, 1504.95996","42.3104, -138.82899, 1531.18994",118512,20372,20372
19,FJ1320,grp1,"21.4776, -161.064, 1509.67004","37.7764, -158.534, 1525.98999",21768,6332,6332
20,FJ1322,grp1,"11.307, -165.509, 1523.31006","39.2835, -122.108, 1534.68994",10812,1881,1881
21,FJ1323,grp1,"12.5858, -161.61501, 1525.80005","35.5147, -121.073, 1532.60999",8508,1527,1527
22,FJ1324,grp1,"17.3533, -166.23399, 1516.68005","42.9379, -156.64999, 1529.20996",4452,748,748
23,FJ1328,grp1,"18.1183, -165.108, 1507.01001","42.0141, -156.101, 1515.38",3102,525,525
24,FJ1331,grp1,"18.9652, -159.50999, 1507.92004","39.3467, -141.795, 1528.21997",16344,2764,2764
25,FJ1336,grp1,"-41.8966, -162.39101, 1506.83997","-19.5561, -155.436, 1529.13",20142,3915,3915
26,FJ1337,grp1,"-42.4549, -159.487, 1506.12","34.5885, -139.994, 1530.02002",86616,15685,15685
27,FJ1340,grp1,"-38.1509, -166.05099, 1510.72998","30.8543, -161.155, 1524.80005",13818,3091,3091
28,FJ1345,grp1,"-43.2376, -166.30701, 1503.14001","-13.8647, -140.47099, 1519.5",7026,1241,1241
29,FJ1346,grp1,"-35.603, -160, 1504.21997","-13.3962, -119.04, 1526.91003",10626,1851,1851
30,FJ1348,grp1,"-37.5038, -162.69701, 1511.30005","-24.6491, -159.621, 1524.16003",9744,1734,1734
31,FJ1349,grp1,"-20.4, -164.351, 1513.22998","-14.581, -163.386, 1517.35999",1578,336,336
32,FJ1350,grp1,"-47.8014, -161.439, 1520.19995","-32.9825, -148.995, 1535.38",5436,920,920
33,FJ1352,grp1,"-20.4667, -165.069, 1513.93994","-17.9714, -163.174, 1516.75",744,126,126
34,FJ1353,grp1,"-17.0417, -161.5, 1487.71997","-12.1136, -151.944, 1504.68005",1332,227,227
35,FJ1355,grp1,"-44.1111, -158.73199, 1513.18005","-17.6581, -119.096, 1530.71997",9828,1705,1705
36,FJ1356,grp1,"-36.099, -161.59599, 1512.66003","-25.7958, -156.827, 1523.09998",4794,801,801
37,FJ1357,grp1,"-43.2974, -165.379, 1520.85999","-13.1642, -119.558, 1536.96997",13080,2451,2451
38,FJ1359,grp1,"-22.5492, -161.177, 1512.40002","-12.5357, -120.944, 1530.05005",7644,1357,1357
39,FJ1360,grp1,"-17.0385, -164.382, 1503.48999","-13.7396, -159.35201, 1518.65002",1152,194,194
40,FJ1368,grp1,"-43.6181, -163.464, 1504.95996","31.2616, -138.82899, 1531.18994",118572,20582,20582
41,FJ1371,grp1,"-39.1013, -161.08099, 1509.65002","37.3922, -158.51199, 1525.97998",22128,7285,7285
42,FJ1373,grp1,"-40.5805, -165.50999, 1523.31995","-12.6366, -122.073, 1534.68994",10638,1870,1870
43,FJ1374,grp1,"-36.8299, -161.616, 1525.79004","-13.8793, -121.056, 1532.62",8436,1532,1532
44,FJ1375,grp1,"-44.2496, -166.23, 1516.66003","-18.6608, -156.64, 1529.20996",4422,745,745
45,FJ1379,grp1,"-43.3265, -165.11301, 1507","-19.4243, -156.10001, 1515.38",3078,523,523
46,FJ1382,grp1,"-40.6511, -159.502, 1507.91003","-20.2728, -141.799, 1528.19995",16308,2775,2775
47,FJ1423,grp1,"-162.519, -113.37, 314.28699","-91.8024, -32.6369, 945.15198",51516,9425,9425
48,FJ1423M,grp1,"91.8023, -113.37, 314.28699","162.519, -32.6368, 945.15198",51516,9425,9425
49,FJ1426,grp1,"-119.051, -107.096, 770.37299","-21.5333, -29.3431, 827.49402",7398,1883,1883
50,FJ1426M,grp1,"21.5333, -107.096, 770.37299","119.051, -29.3431, 827.49402",7398,1884,1884
51,FJ1428,grp1,"-137.06, -72.0186, 806.05603","-25.4805, -12.0822, 872.40302",3276,798,798
52,FJ1428M,grp1,"25.4805, -72.0186, 806.05603","137.06, -12.0822, 872.40302",3276,796,796
53,FJ1431,grp1,"-113.758, -119.566, 735.21503","-7.47519, -53.1349, 1098.73999",14700,3632,3632
54,FJ1431M,grp1,"7.47519, -119.566, 735.21503","113.757, -53.1349, 1098.73999",14700,3634,3634
55,FJ1446,grp1,"-180.896, -213.62801, 1104.78003","-48, -81.7564, 1277.93994",4608,1019,1019
56,FJ1446M,grp1,"48, -213.62801, 1104.78003","180.896, -81.7564, 1277.93994",4608,1019,1019
57,FJ1450,grp1,"-14.7874, -38.7243, 753.60999","-3.28195, -16.9439, 774.86102",1104,250,250
58,FJ1450M,grp1,"3.28195, -38.7244, 753.60999","14.7874, -16.9439, 774.86102",1104,250,250
